test_txndate,test_storecode,Customers,Bills,ItemQty,Sales
2018-05-03 00:00:00,Warehouse,1,1,2.0,7885.0
2018-05-04 00:00:00,11,12,12,65.0,46834.0
2018-05-04 00:00:00,5,15,15,40.0,29947.0
2018-05-04 00:00:00,6,47,52,284.0,94840.0
2018-05-04 00:00:00,Warehouse,1,1,2.0,7660.0
2018-05-05 00:00:00,11,1,1,3.0,3050.0
2018-05-05 00:00:00,5,16,19,84.0,49198.0
2018-05-05 00:00:00,6,59,62,382.0,111035.0
2018-05-05 00:00:00,Warehouse,1,1,228.0,61760.0
2018-05-06 00:00:00,11,1,1,25.0,5735.0
2018-05-06 00:00:00,5,12,12,34.0,22596.0
2018-05-06 00:00:00,6,56,67,297.0,137323.0
2018-05-07 00:00:00,11,1,1,7.0,6125.0
2018-05-07 00:00:00,5,8,8,23.0,19343.0
2018-05-07 00:00:00,6,60,64,282.0,115451.0
2018-05-08 00:00:00,11,12,12,39.0,29400.0
2018-05-08 00:00:00,5,11,11,30.0,10273.0
2018-05-08 00:00:00,6,63,69,369.0,191230.0
2018-05-08 00:00:00,Warehouse,1,1,5.0,39000.0
2018-05-09 00:00:00,11,11,11,26.0,45122.0
2018-05-09 00:00:00,5,6,6,20.0,7123.0
2018-05-09 00:00:00,6,55,56,376.0,112468.0
2018-05-10 00:00:00,11,17,17,125.0,50687.0
2018-05-10 00:00:00,5,9,9,63.0,19611.0
2018-05-10 00:00:00,6,53,53,316.0,94447.0
2018-05-10 00:00:00,Warehouse,2,2,19.0,5980.0
2018-05-11 00:00:00,11,14,14,69.0,33453.0
2018-05-11 00:00:00,5,14,14,36.0,26661.0
2018-05-11 00:00:00,6,43,45,318.0,100654.0
2018-05-11 00:00:00,Warehouse,1,1,13.0,4390.0
2018-05-12 00:00:00,11,19,19,131.0,43660.0
2018-05-12 00:00:00,5,27,27,120.0,62898.0
2018-05-12 00:00:00,6,56,58,288.0,117232.0
2018-05-13 00:00:00,11,25,25,120.0,55076.0
2018-05-13 00:00:00,5,15,16,100.0,43771.0
2018-05-13 00:00:00,6,53,55,327.0,102994.0
2018-05-14 00:00:00,11,21,22,78.0,50366.0
2018-05-14 00:00:00,5,15,15,41.0,19210.0
2018-05-14 00:00:00,6,57,57,317.0,161388.0
2018-05-15 00:00:00,11,31,31,153.0,65543.0
2018-05-15 00:00:00,5,21,21,91.0,30403.0
2018-05-15 00:00:00,6,65,69,287.0,105035.0
2018-05-16 00:00:00,11,26,26,89.0,64155.0
2018-05-16 00:00:00,5,13,13,89.0,25308.0
2018-05-16 00:00:00,6,55,57,206.0,110214.0
2018-05-17 00:00:00,11,19,19,100.0,51079.0
2018-05-17 00:00:00,5,9,10,47.0,16256.0
2018-05-17 00:00:00,6,62,68,310.0,128750.0
2018-05-18 00:00:00,11,15,15,76.0,41032.0
2018-05-18 00:00:00,5,10,10,65.0,23745.0
2018-05-18 00:00:00,6,51,56,384.0,91417.0
2018-05-19 00:00:00,11,21,22,217.0,63122.0
2018-05-19 00:00:00,5,10,12,30.0,21586.0
2018-05-19 00:00:00,6,67,69,347.0,168947.0
2018-05-20 00:00:00,11,24,24,144.0,65034.0
2018-05-20 00:00:00,5,12,13,36.0,31034.0
2018-05-20 00:00:00,6,62,65,379.0,139119.0
2018-05-21 00:00:00,11,19,19,63.0,39452.0
2018-05-21 00:00:00,5,14,14,53.0,27434.0
2018-05-21 00:00:00,6,58,59,314.0,102017.0
2018-05-21 00:00:00,Warehouse,3,3,76.0,33600.0
2018-05-22 00:00:00,11,16,17,84.0,39303.0
2018-05-22 00:00:00,5,16,18,80.0,32044.0
2018-05-22 00:00:00,6,62,66,340.0,119136.0
2018-05-22 00:00:00,Warehouse,1,1,6.0,11750.0
2018-05-23 00:00:00,11,16,17,69.0,36775.0
2018-05-23 00:00:00,5,11,12,66.0,21826.0
2018-05-23 00:00:00,6,63,64,287.0,109811.0
2018-05-23 00:00:00,Warehouse,1,1,365.0,74730.0
2018-05-24 00:00:00,11,21,21,154.0,68428.0
2018-05-24 00:00:00,5,11,11,63.0,18087.0
2018-05-24 00:00:00,6,43,44,247.0,61978.0
2018-05-25 00:00:00,11,16,16,83.0,22592.0
2018-05-25 00:00:00,5,6,6,20.0,8128.0
2018-05-25 00:00:00,6,54,54,249.0,84109.0
2018-05-25 00:00:00,Warehouse,1,1,708.0,40243.0
2018-05-26 00:00:00,11,28,28,154.0,63651.0
2018-05-26 00:00:00,5,8,8,20.0,11313.0
2018-05-26 00:00:00,6,65,66,285.0,110734.0
2018-05-26 00:00:00,Warehouse,2,2,40.0,8800.0
2018-05-27 00:00:00,11,27,28,204.0,53710.0
2018-05-27 00:00:00,5,15,15,59.0,28728.0
2018-05-27 00:00:00,6,62,67,354.0,107764.0
2018-05-28 00:00:00,11,26,26,213.0,64805.0
2018-05-28 00:00:00,5,14,15,73.0,21362.0
2018-05-28 00:00:00,6,61,62,260.0,95884.0
2018-05-29 00:00:00,11,21,21,218.0,79184.0
2018-05-29 00:00:00,5,8,8,51.0,27859.0
2018-05-29 00:00:00,6,47,48,205.0,100328.0
2018-05-29 00:00:00,Warehouse,2,2,25.0,49200.0
2018-05-30 00:00:00,11,18,18,109.0,98474.0
2018-05-30 00:00:00,5,6,6,17.0,16325.0
2018-05-30 00:00:00,6,48,50,310.0,73680.0
2018-05-31 00:00:00,11,21,21,66.0,56531.0
2018-05-31 00:00:00,5,12,12,74.0,44836.0
2018-05-31 00:00:00,6,56,61,299.0,136769.0
2018-05-31 00:00:00,Warehouse,1,1,82.0,11120.0
2018-06-01 00:00:00,11,15,15,79.0,56573.0
2018-06-01 00:00:00,5,7,7,40.0,24144.0
2018-06-01 00:00:00,6,57,58,379.0,130724.0
2018-06-01 00:00:00,Warehouse,1,1,169.0,73345.0
2018-06-02 00:00:00,11,20,20,137.0,42901.0
2018-06-02 00:00:00,5,19,20,56.0,27315.0
2018-06-02 00:00:00,6,64,65,325.0,114042.0
2018-06-03 00:00:00,11,33,34,174.0,88069.0
2018-06-03 00:00:00,5,25,26,128.0,69428.0
2018-06-03 00:00:00,6,57,61,257.0,134397.0
2018-06-04 00:00:00,11,24,26,142.0,76123.0
2018-06-04 00:00:00,5,21,23,57.0,47486.0
2018-06-04 00:00:00,6,57,58,361.0,103987.0
2018-06-04 00:00:00,Warehouse,1,1,6.0,4800.0
2018-06-05 00:00:00,11,17,17,146.0,69759.0
2018-06-05 00:00:00,5,17,17,44.0,21786.0
2018-06-05 00:00:00,6,59,61,338.0,108257.0
2018-06-06 00:00:00,11,14,14,90.0,27619.0
2018-06-06 00:00:00,5,11,13,48.0,38681.0
2018-06-06 00:00:00,6,64,67,362.0,120542.0
2018-06-06 00:00:00,Warehouse,2,2,38.0,17400.0
2018-06-07 00:00:00,11,22,23,79.0,66136.0
2018-06-07 00:00:00,5,8,8,221.0,58156.0
2018-06-07 00:00:00,6,60,66,446.0,151221.0
2018-06-08 00:00:00,11,17,17,99.0,45893.0
2018-06-08 00:00:00,5,9,9,27.0,11846.0
2018-06-08 00:00:00,6,65,68,250.0,108786.0
2018-06-09 00:00:00,11,19,19,259.0,53976.0
2018-06-09 00:00:00,5,14,15,43.0,24992.0
2018-06-09 00:00:00,6,77,79,489.0,144371.0
2018-06-09 00:00:00,Warehouse,1,1,15.0,11500.0
2018-06-10 00:00:00,11,18,18,109.0,53605.0
2018-06-10 00:00:00,5,20,21,86.0,58938.0
2018-06-10 00:00:00,6,68,73,501.0,155140.0
2018-06-11 00:00:00,11,21,21,175.0,58579.0
2018-06-11 00:00:00,5,8,10,22.0,20417.0
2018-06-11 00:00:00,6,49,53,302.0,94718.0
2018-06-11 00:00:00,Warehouse,1,1,217.0,60690.0
2018-06-12 00:00:00,11,17,17,146.0,73366.0
2018-06-12 00:00:00,5,19,19,56.0,30916.0
2018-06-12 00:00:00,6,64,69,288.0,146894.0
2018-06-12 00:00:00,Warehouse,1,1,30.0,14800.0
2018-06-13 00:00:00,11,24,24,66.0,58228.0
2018-06-13 00:00:00,5,16,16,122.0,30776.0
2018-06-13 00:00:00,6,61,63,387.0,119123.0
2018-06-14 00:00:00,11,19,19,56.0,36424.0
2018-06-14 00:00:00,5,17,17,64.0,48412.0
2018-06-14 00:00:00,6,49,54,280.0,98591.0
2018-06-14 00:00:00,Warehouse,1,1,22.0,6640.0
2018-06-15 00:00:00,11,17,17,64.0,38265.0
2018-06-15 00:00:00,5,12,13,33.0,15124.0
2018-06-15 00:00:00,6,71,74,357.0,160482.0
2018-06-15 00:00:00,Warehouse,1,1,1.0,7650.0
2018-06-16 00:00:00,11,20,22,75.0,45208.0
2018-06-16 00:00:00,5,21,22,84.0,57511.0
2018-06-16 00:00:00,6,72,75,387.0,134054.0
2018-06-17 00:00:00,11,17,19,132.0,64723.0
2018-06-17 00:00:00,5,17,17,123.0,59899.0
2018-06-17 00:00:00,6,73,77,391.0,124963.0
2018-06-18 00:00:00,11,26,26,140.0,73859.0
2018-06-18 00:00:00,5,18,18,67.0,23327.0
2018-06-18 00:00:00,6,61,64,432.0,98029.0
2018-06-18 00:00:00,Warehouse,1,1,1.0,7280.0
2018-06-19 00:00:00,11,27,28,143.0,72287.0
2018-06-19 00:00:00,5,10,10,64.0,21974.0
2018-06-19 00:00:00,6,61,64,283.0,96911.0
2018-06-20 00:00:00,11,20,21,147.0,61600.0
2018-06-20 00:00:00,5,20,20,51.0,34359.0
2018-06-20 00:00:00,6,57,61,257.0,101743.0
2018-06-21 00:00:00,11,16,16,89.0,36765.0
2018-06-21 00:00:00,5,10,11,64.0,23047.0
2018-06-21 00:00:00,6,53,53,259.0,71213.0
2018-06-22 00:00:00,11,19,19,144.0,93297.0
2018-06-22 00:00:00,5,18,19,99.0,37977.0
2018-06-22 00:00:00,6,59,62,294.0,115535.0
2018-06-23 00:00:00,11,15,15,74.0,50315.0
2018-06-23 00:00:00,5,19,21,99.0,48579.0
2018-06-23 00:00:00,6,53,58,289.0,136217.0
2018-06-23 00:00:00,Warehouse,1,1,411.0,113575.0
2018-06-24 00:00:00,11,23,24,97.0,41718.0
2018-06-24 00:00:00,5,19,21,86.0,49791.0
2018-06-24 00:00:00,6,59,60,353.0,114508.0
2018-06-25 00:00:00,11,23,23,165.0,69882.0
2018-06-25 00:00:00,5,6,6,44.0,22909.0
2018-06-25 00:00:00,6,53,57,274.0,101670.0
2018-06-26 00:00:00,11,20,20,185.0,75441.0
2018-06-26 00:00:00,5,16,16,61.0,38215.0
2018-06-26 00:00:00,6,74,75,515.0,187585.0
2018-06-26 00:00:00,Warehouse,1,1,18.0,6660.0
2018-06-27 00:00:00,11,18,18,75.0,57612.0
2018-06-27 00:00:00,5,18,19,42.0,19615.0
2018-06-27 00:00:00,6,73,77,532.0,127975.0
2018-06-28 00:00:00,11,16,16,93.0,53951.0
2018-06-28 00:00:00,5,23,23,114.0,54199.0
2018-06-28 00:00:00,6,54,57,276.0,99505.0
2018-06-29 00:00:00,11,10,10,54.0,25308.0
2018-06-29 00:00:00,5,13,14,56.0,27925.0
2018-06-29 00:00:00,6,68,69,215.0,100940.0
2018-06-29 00:00:00,Warehouse,4,4,209.0,85400.0
2018-06-30 00:00:00,11,17,17,110.0,70535.0
2018-06-30 00:00:00,5,17,17,98.0,35923.0
2018-06-30 00:00:00,6,69,72,438.0,140150.0
2018-06-30 00:00:00,Warehouse,1,1,1011.0,422690.0
2018-07-01 00:00:00,11,22,22,132.0,46209.0
2018-07-01 00:00:00,5,27,27,181.0,70275.0
2018-07-01 00:00:00,6,47,48,389.0,97565.0
2018-07-02 00:00:00,11,21,21,83.0,58233.0
2018-07-02 00:00:00,5,17,17,68.0,42864.0
2018-07-02 00:00:00,6,67,70,473.0,146732.0
2018-07-03 00:00:00,11,14,14,71.0,47342.0
2018-07-03 00:00:00,5,20,21,269.0,53886.0
2018-07-03 00:00:00,6,49,51,234.0,93181.0
2018-07-03 00:00:00,Warehouse,2,3,426.0,209418.0
2018-07-04 00:00:00,11,12,12,92.0,19996.0
2018-07-04 00:00:00,5,11,12,63.0,26265.0
2018-07-04 00:00:00,6,68,70,318.0,114630.0
2018-07-05 00:00:00,11,12,12,56.0,37855.0
2018-07-05 00:00:00,5,9,11,73.0,22660.0
2018-07-05 00:00:00,6,63,64,338.0,126955.0
2018-07-05 00:00:00,Warehouse,3,3,2248.0,916740.0
2018-07-06 00:00:00,11,23,24,105.0,49603.0
2018-07-06 00:00:00,5,9,9,76.0,56885.0
2018-07-06 00:00:00,6,56,60,223.0,107680.0
2018-07-06 00:00:00,Warehouse,1,1,2356.0,868440.0
2018-07-07 00:00:00,11,33,35,158.0,53604.0
2018-07-07 00:00:00,5,12,12,46.0,16227.0
2018-07-07 00:00:00,6,75,82,426.0,159155.0
2018-07-07 00:00:00,Warehouse,1,1,11.0,14960.0
2018-07-08 00:00:00,11,31,31,174.0,78674.0
2018-07-08 00:00:00,5,27,28,131.0,76030.0
2018-07-08 00:00:00,6,74,78,564.0,195130.0
2018-07-09 00:00:00,11,19,20,83.0,52770.0
2018-07-09 00:00:00,5,14,16,53.0,27041.0
2018-07-09 00:00:00,6,60,64,257.0,100878.0
2018-07-10 00:00:00,11,27,27,121.0,54277.0
2018-07-10 00:00:00,5,11,12,49.0,32165.0
2018-07-10 00:00:00,6,51,54,326.0,84230.0
2018-07-11 00:00:00,11,19,22,112.0,51869.0
2018-07-11 00:00:00,5,19,20,76.0,34155.0
2018-07-11 00:00:00,6,62,65,356.0,89161.0
2018-07-11 00:00:00,Warehouse,1,1,52.0,25440.0
2018-07-12 00:00:00,11,27,27,260.0,46499.0
2018-07-12 00:00:00,5,12,12,59.0,40760.0
2018-07-12 00:00:00,6,75,77,350.0,123747.0
2018-07-12 00:00:00,Warehouse,1,2,445.0,151082.0
2018-07-13 00:00:00,11,24,24,123.0,45228.0
2018-07-13 00:00:00,5,12,14,104.0,27947.0
2018-07-13 00:00:00,6,74,77,376.0,150280.0
2018-07-14 00:00:00,11,29,30,170.0,65709.0
2018-07-14 00:00:00,5,17,19,71.0,64990.0
2018-07-14 00:00:00,6,71,76,354.0,118198.0
2018-07-15 00:00:00,11,28,29,158.0,66281.0
2018-07-15 00:00:00,5,19,19,65.0,32816.0
2018-07-15 00:00:00,6,75,82,377.0,145218.0
2018-07-16 00:00:00,11,29,29,100.0,48726.0
2018-07-16 00:00:00,5,13,15,59.0,22124.0
2018-07-16 00:00:00,6,73,76,322.0,114479.0
2018-07-16 00:00:00,Warehouse,1,1,48.0,18720.0
2018-07-17 00:00:00,11,22,22,83.0,57596.0
2018-07-17 00:00:00,5,8,8,25.0,6812.0
2018-07-17 00:00:00,6,66,72,248.0,108544.0
2018-07-17 00:00:00,Warehouse,1,1,11.0,22250.0
2018-07-18 00:00:00,11,28,30,136.0,63096.0
2018-07-18 00:00:00,5,15,15,70.0,35886.0
2018-07-18 00:00:00,6,72,73,252.0,166736.0
2018-07-18 00:00:00,Warehouse,3,3,245.0,87310.0
2018-07-19 00:00:00,11,27,27,99.0,55447.0
2018-07-19 00:00:00,5,11,12,59.0,18438.0
2018-07-19 00:00:00,6,71,75,318.0,111207.0
2018-07-19 00:00:00,Warehouse,2,2,36.0,13750.0
2018-07-20 00:00:00,11,13,13,53.0,20175.0
2018-07-20 00:00:00,5,11,11,44.0,29051.0
2018-07-20 00:00:00,6,36,38,237.0,109050.0
2018-07-20 00:00:00,Warehouse,1,1,2.0,13600.0
2018-07-21 00:00:00,11,31,31,161.0,53711.0
2018-07-21 00:00:00,5,24,25,77.0,44908.0
2018-07-21 00:00:00,6,80,85,469.0,130474.0
2018-07-21 00:00:00,Warehouse,1,1,211.0,93201.0
2018-07-22 00:00:00,11,35,38,126.0,64102.0
2018-07-22 00:00:00,5,16,17,55.0,34021.0
2018-07-22 00:00:00,6,75,82,293.0,132640.0
2018-07-23 00:00:00,11,38,41,195.0,75904.0
2018-07-23 00:00:00,5,18,19,123.0,43778.0
2018-07-23 00:00:00,6,73,76,382.0,136087.0
2018-07-23 00:00:00,Warehouse,3,3,49.0,34210.0
2018-07-24 00:00:00,11,21,22,48.0,37365.0
2018-07-24 00:00:00,5,25,25,91.0,43555.0
2018-07-24 00:00:00,6,53,54,316.0,83023.0
2018-07-25 00:00:00,11,22,22,149.0,44041.0
2018-07-25 00:00:00,5,16,17,60.0,47690.0
2018-07-25 00:00:00,6,63,65,349.0,154206.0
2018-07-25 00:00:00,Warehouse,1,1,2.0,3960.0
2018-07-26 00:00:00,11,32,32,144.0,59948.0
2018-07-26 00:00:00,5,21,21,112.0,38794.0
2018-07-26 00:00:00,6,49,51,267.0,70075.0
2018-07-26 00:00:00,Warehouse,1,1,18.0,10000.0
2018-07-27 00:00:00,11,31,31,113.0,40570.0
2018-07-27 00:00:00,5,14,14,45.0,43670.0
2018-07-27 00:00:00,6,67,69,324.0,129340.0
2018-07-27 00:00:00,Warehouse,1,1,64.0,37920.0
2018-07-28 00:00:00,11,31,31,111.0,81144.0
2018-07-28 00:00:00,5,26,27,142.0,73795.0
2018-07-28 00:00:00,6,70,72,362.0,114433.0
2018-07-28 00:00:00,Warehouse,1,1,2.0,8550.0
2018-07-29 00:00:00,11,27,28,113.0,66856.0
2018-07-29 00:00:00,5,28,29,154.0,65479.0
2018-07-29 00:00:00,6,64,67,321.0,110463.0
2018-07-30 00:00:00,11,30,30,77.0,54426.0
2018-07-30 00:00:00,5,17,17,70.0,41887.0
2018-07-30 00:00:00,6,56,57,330.0,81461.0
2018-07-30 00:00:00,Warehouse,3,3,133.0,74784.0
2018-07-31 00:00:00,11,25,25,100.0,60659.0
2018-07-31 00:00:00,5,15,15,84.0,22618.0
2018-07-31 00:00:00,6,59,61,228.0,110406.0
2018-07-31 00:00:00,Warehouse,1,1,1.0,6800.0
2018-08-01 00:00:00,11,26,27,102.0,68489.0
2018-08-01 00:00:00,5,14,14,81.0,42578.0
2018-08-01 00:00:00,6,69,73,365.0,151019.0
2018-08-01 00:00:00,Warehouse,1,1,6.0,17590.0
2018-08-02 00:00:00,11,25,25,90.0,36404.0
2018-08-02 00:00:00,5,18,19,67.0,54637.0
2018-08-02 00:00:00,6,44,46,278.0,107192.0
2018-08-02 00:00:00,Warehouse,1,1,15.0,7800.0
2018-08-03 00:00:00,11,20,21,243.0,69758.0
2018-08-03 00:00:00,5,30,33,201.0,82784.0
2018-08-03 00:00:00,6,69,72,328.0,114644.0
2018-08-03 00:00:00,Warehouse,1,1,2.0,13600.0
2018-08-04 00:00:00,11,35,36,170.0,74900.0
2018-08-04 00:00:00,5,35,39,145.0,76369.0
2018-08-04 00:00:00,6,66,68,505.0,151877.0
2018-08-04 00:00:00,Warehouse,1,1,47.0,10340.0
2018-08-05 00:00:00,11,22,24,74.0,60562.0
2018-08-05 00:00:00,5,24,27,100.0,41108.0
2018-08-05 00:00:00,6,71,77,357.0,159851.0
2018-08-06 00:00:00,11,35,35,120.0,53924.0
2018-08-06 00:00:00,5,22,22,101.0,46488.0
2018-08-06 00:00:00,6,64,66,310.0,110036.0
2018-08-06 00:00:00,Warehouse,1,1,9.0,23510.0
2018-08-07 00:00:00,11,28,28,176.0,46464.0
2018-08-07 00:00:00,5,28,29,123.0,50420.0
2018-08-07 00:00:00,6,70,73,395.0,127458.0
2018-08-08 00:00:00,11,26,26,88.0,54922.0
2018-08-08 00:00:00,5,19,22,79.0,27878.0
2018-08-08 00:00:00,6,52,56,191.0,76444.0
2018-08-08 00:00:00,Warehouse,2,2,243.0,93749.0
2018-08-09 00:00:00,11,22,24,100.0,48838.0
2018-08-09 00:00:00,5,6,6,35.0,11740.0
2018-08-09 00:00:00,6,62,63,320.0,106635.0
2018-08-10 00:00:00,11,21,21,52.0,47266.0
2018-08-10 00:00:00,5,23,23,85.0,62173.0
2018-08-10 00:00:00,6,76,79,333.0,123317.0
2018-08-10 00:00:00,Warehouse,1,1,50.0,6000.0
2018-08-11 00:00:00,11,25,25,98.0,53497.0
2018-08-11 00:00:00,5,26,28,107.0,69066.0
2018-08-11 00:00:00,6,65,67,347.0,125134.0
2018-08-11 00:00:00,Warehouse,1,1,91.0,14580.0
2018-08-12 00:00:00,11,22,22,88.0,42963.0
2018-08-12 00:00:00,5,28,28,114.0,58754.0
2018-08-12 00:00:00,6,59,64,370.0,118534.0
2018-08-13 00:00:00,11,29,29,122.0,53947.0
2018-08-13 00:00:00,5,11,12,48.0,20433.0
2018-08-13 00:00:00,6,71,74,266.0,123536.0
2018-08-14 00:00:00,11,33,34,284.0,72220.0
2018-08-14 00:00:00,5,22,24,121.0,53818.0
2018-08-14 00:00:00,6,65,68,396.0,105460.0
2018-08-14 00:00:00,Warehouse,1,1,30.0,12000.0
2018-08-15 00:00:00,11,38,39,147.0,76025.0
2018-08-15 00:00:00,5,15,17,93.0,35583.0
2018-08-15 00:00:00,6,74,77,445.0,216102.0
2018-08-16 00:00:00,11,24,24,163.0,52025.0
2018-08-16 00:00:00,5,11,11,117.0,30527.0
2018-08-16 00:00:00,6,78,79,460.0,120954.0
2018-08-16 00:00:00,Warehouse,3,3,72.0,54710.0
2018-08-17 00:00:00,11,25,27,81.0,57258.0
2018-08-17 00:00:00,5,19,19,71.0,44862.0
